main_group,cluster_label,n_assets,ordered_from,ordered_to,mean_corr_intra,mean_dist_intra,assets_preview,assets_all,raw_indices
1,1,27,0,26,0.4671163127529431,0.09368804423026329,"ETH-USD, BKR, RWO, SCHH, VNQ, FREL, XLRE, IYR, BTC-USD, BLK, AAPL, TJX, TSM, JPM, WFC, LMT, MS, AXP, ... (+9)",ETH-USD | BKR | RWO | SCHH | VNQ | FREL | XLRE | IYR | BTC-USD | BLK | AAPL | TJX | TSM | JPM | WFC | LMT | MS | AXP | XLF | DIA | XLI | IWM | WEAT | XLC | BRK-B | BAC | CAT,61 | 107 | 30 | 28 | 25 | 29 | 22 | 26 | 60 | 86 | 69 | 120 | 133 | 79 | 83 | 92 | 84 | 85 | 15 | 2 | 17 | 3 | 46 | 20 | 75 | 81 | 90
2,2,6,27,32,0.29455226342347623,0.10836206415983167,"SBUX, BMY, SHOP, CSX, DIS, CMCSA",SBUX | BMY | SHOP | CSX | DIS | CMCSA,118 | 129 | 151 | 94 | 78 | 143
3,3,14,33,46,0.23239050459328797,0.09758195763619043,"VCSH, IEF, TIP, BNDX, JNJ, RWX, SOYB, LIT, TSLA, BABA, SOL-USD, AVAX-USD, BNB-USD, DOT-USD",VCSH | IEF | TIP | BNDX | JNJ | RWX | SOYB | LIT | TSLA | BABA | SOL-USD | AVAX-USD | BNB-USD | DOT-USD,58 | 49 | 53 | 31 | 121 | 27 | 47 | 165 | 74 | 147 | 62 | 68 | 63 | 67
4,4,10,47,56,0.2795362138205543,0.09069549170119522,"NFLX, SNOW, NSC, GS, LLY, META, AVGO, PM, NVDA, UNP",NFLX | SNOW | NSC | GS | LLY | META | AVGO | PM | NVDA | UNP,77 | 138 | 95 | 80 | 126 | 76 | 140 | 112 | 73 | 93
5,5,5,58,62,0.20315384125308844,0.12777134883974522,"SHY, LCID, XPEV, ADA-USD, DOGE-USD",SHY | LCID | XPEV | ADA-USD | DOGE-USD,52 | 158 | 159 | 65 | 66
6,7,14,63,76,0.25860565980867073,0.14189690089380877,"UPS, INTC, F, NKE, PANW, TFC, ABBV, CRM, CVS, SE, SCHW, CVX, MPC, KO",UPS | INTC | F | NKE | PANW | TFC | ABBV | CRM | CVS | SE | SCHW | CVX | MPC | KO,96 | 132 | 156 | 119 | 139 | 88 | 125 | 137 | 124 | 152 | 87 | 99 | 102 | 109
7,8,5,77,81,0.24113565845966822,0.08837404102438906,"TGT, FDX, IBM, MO, ORCL",TGT | FDX | IBM | MO | ORCL,114 | 97 | 135 | 111 | 134
8,9,20,82,101,0.20740607469364045,0.0952523256094321,"VZ, GOOGL, C, ADBE, INFY, CORN, MRNA, CHTR, REGN, T, RTX, WMT, AMZN, HAL, PSX, TMUS, FAN, RIVN, ... (+2)",VZ | GOOGL | C | ADBE | INFY | CORN | MRNA | CHTR | REGN | T | RTX | WMT | AMZN | HAL | PSX | TMUS | FAN | RIVN | PG | WBD,141 | 71 | 82 | 136 | 150 | 45 | 127 | 144 | 128 | 142 | 98 | 113 | 72 | 106 | 103 | 145 | 166 | 157 | 108 | 146
9,10,25,102,126,0.4931633306191254,0.07630345807732349,"XOM, XLB, USO, VLO, PEP, QQQ, XLK, XLV, XLE, XLU, EFA, SPDW, VEA, SCHF, VTI, VOO, SPY, IVV, ... (+7)",XOM | XLB | USO | VLO | PEP | QQQ | XLK | XLV | XLE | XLU | EFA | SPDW | VEA | SCHF | VTI | VOO | SPY | IVV | ACWI | XLY | MCD | UGA | BYDDF | HON | HD,100 | 24 | 43 | 104 | 110 | 1 | 14 | 19 | 16 | 23 | 7 | 12 | 9 | 13 | 5 | 6 | 0 | 4 | 11 | 18 | 117 | 44 | 154 | 91 | 115
10,11,31,127,157,0.346410776162737,0.06968404943819592,"DBC, PDBC, XLP, PPLT, PBW, QCLN, IGOV, MBB, SCHZ, AGG, BND, TLT, LQD, VCIT, PBD, ICLN, TAN, GLD, ... (+13)",DBC | PDBC | XLP | PPLT | PBW | QCLN | IGOV | MBB | SCHZ | AGG | BND | TLT | LQD | VCIT | PBD | ICLN | TAN | GLD | SLV | PFE | COPX | OXY | VWOB | EMB | VWO | EEM | IEMG | SLB | AMD | BA | KRBN,41 | 42 | 21 | 38 | 163 | 164 | 33 | 56 | 57 | 54 | 55 | 48 | 50 | 59 | 167 | 161 | 162 | 36 | 37 | 122 | 39 | 101 | 32 | 35 | 10 | 8 | 34 | 105 | 131 | 89 | 168
11,12,11,158,168,0.2755524426932681,0.09426374018103259,"MELI, UNH, GILD, NIO, LOW, TCEHY, LI, HYG, GM, DBB, MSFT",MELI | UNH | GILD | NIO | LOW | TCEHY | LI | HYG | GM | DBB | MSFT,153 | 123 | 130 | 149 | 116 | 148 | 160 | 51 | 155 | 40 | 70
